candidate_filer_id,committee_filer_id,link_type,session,active,effective_date,termination_date
1000398,1024314,-12011,,I,12/24/77,
1000398,1033112,12015,,I,12/24/77,
1000399,1023899,-12011,,I,12/24/77,
1000401,1029160,12015,,I,12/24/77,
1000402,1024358,-12011,,I,12/24/77,
1000407,1018474,-12011,,I,12/24/77,
1000408,1025791,12014,,I,12/24/77,
1000408,1023319,12011,,I,12/24/77,
1000409,1018189,-12011,,I,12/24/77,
1000409,1025702,12014,,I,12/24/77,
1000410,1024850,-12011,,I,12/24/77,
1000411,1024771,-12011,,I,12/24/77,
1000412,1024153,-12011,,I,12/24/77,
1000413,1022937,-12011,,I,12/24/77,
1000414,1028507,12015,,I,12/24/77,
1000415,1020003,-12011,,I,12/24/77,
1000415,1026221,12015,,I,12/24/77,
1000415,1027400,-12011,,I,12/24/77,
1000415,1025462,-12011,,I,12/24/77,
1000415,1047887,12015,,I,12/24/77,
1000415,1019702,12011,,I,12/24/77,
1000415,1049572,12011,1992,I,1/7/92,
1000417,1022618,-12011,,I,12/24/77,
1000417,1022520,-12011,,I,12/24/77,
1000417,1022754,-12011,,I,12/24/77,
1000417,1019784,12015,,I,12/24/77,
1000417,1029777,12015,,I,12/24/77,
1000417,1021083,12015,,I,12/24/77,
1000417,1022797,-12011,,I,12/24/77,
1000417,1018698,12015,,I,12/24/77,
1000417,1024611,12014,,I,12/24/77,
1000421,1018726,-12011,,I,12/24/77,
1000423,1022765,-12011,,I,12/24/77,
1000425,1024681,-12011,,I,12/24/77,
1000426,1025671,-12011,,I,12/24/77,
1000427,1025614,12014,,I,12/24/77,
1000427,1020170,-12011,,I,12/24/77,
1000427,1026000,12014,,I,12/24/77,
1000427,1026254,-12011,,I,12/24/77,
1000427,1041695,12015,,I,12/24/77,
1000427,1047805,12015,,I,12/24/77,
1000427,1048122,12015,,I,12/24/77,
1000427,1058849,12011,1993,I,8/3/93,
1000429,1020740,-12011,,I,12/24/77,
1000429,1030773,12015,,I,12/24/77,
1000429,1030049,-12011,,I,12/24/77,
1000429,1043323,12015,,I,12/24/77,
1000429,1044939,12015,,I,12/24/77,
1000429,1027400,-12011,,I,12/24/77,
1000429,1029331,-12011,,I,12/24/77,
1000430,1030191,-12011,1998,I,7/31/98,
1000430,1064805,-12011,1998,Y,11/2/98,
1000430,1028798,-12011,,I,12/24/77,
1000430,1071222,-12011,1998,I,7/31/98,
1000430,1070317,12011,1998,I,7/31/98,3/2/98
1000431,1036864,12015,,I,12/24/77,
1000431,1042496,12015,,I,12/24/77,
1000431,1053270,-12011,1991,I,7/19/91,
1000431,1023559,-12011,1996,I,2/22/96,
1000431,1066800,-12011,1996,I,2/22/96,
1000431,1047537,12015,,I,12/24/77,
1000431,1049619,-12011,1996,I,2/22/96,
