candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
John Eisenhut,A,26,DEM,2008,65940,136560,48.28646748681898,70620,0,0
Bill Berryhill,A,26,REP,2010,64625,106400,60.73778195488722,64625,1,1
"Tim Weintz, Sr.",A,26,DEM,2010,41775,106400,39.26221804511278,64625,0,0
Bill Berryhill,S,5,REP,2012,139502,281927,49.48160339378633,142425,0,0
Cathleen Galgiani,S,5,DEM,2012,142425,281927,50.51839660621367,142425,1,0
Bill Dodd,A,4,DEM,2014,70598,114579,61.6151301721956,70598,1,0
Charlie Schaupp,A,4,REP,2014,43981,114579,38.384869827804394,70598,0,0
Bill Dodd,S,3,DEM,2016,207927,357628,58.140581833637185,207927,1,0
Mariko Yamada,S,3,DEM,2016,149701,357628,41.85941816636281,207927,0,0
Bill Emmerson,A,63,REP,2004,83719,143699,58.2599739733749,83719,1,0
D'Andre McNamee,A,63,DEM,2004,49646,143699,34.5486050703206,83719,0,0
Maureen K. Keedy,A,63,LIB,2004,10334,143699,7.191420956304498,83719,0,0
Bill Emmerson,A,63,REP,2006,59340,98995,59.94242133441083,59340,1,1
Mark David Westwood,A,63,DEM,2006,39655,98995,40.05757866558917,59340,0,0
Bill Emmerson,A,63,REP,2008,90213,165932,54.367451727213556,90213,1,1
Mark David Westwood,A,63,DEM,2008,75719,165932,45.632548272786444,90213,0,0
Bill Emmerson,S,23,REP,2012,159045,282563,56.286562642667306,159045,1,0
Melissa Ruth O'Donnell,S,23,DEM,2012,123518,282563,43.7134373573327,159045,0,0
Bill Maze,A,34,REP,2004,80149,116968,68.5221599069831,80149,1,1
Maggie Florez,A,34,DEM,2004,36819,116968,31.477840093016894,80149,0,0
Bill Maze,A,34,REP,2006,56880,83248,68.3259657889679,56880,1,1
David Minton Silva,A,34,GRN,2006,2793,83248,3.3550355564097636,56880,0,0
Desmond Farrelly,A,34,DEM,2006,23575,83248,28.318998654622334,56880,0,0
Bill Monning,A,27,DEM,2008,127102,192671,65.96841247515194,127102,1,0
Mark Hinkle,A,27,LIB,2008,17435,192671,9.049104431907242,127102,0,0
Rexford Keyes,A,27,IND (W/I),2008,27,192671,0.01401352564734703,127102,0,0
Robert Murray,A,27,REP,2008,48107,192671,24.968469567293468,127102,0,0
Bill Monning,A,27,DEM,2010,102124,152955,66.76734987414599,102124,1,1
"Linda ""Ellie"" Black",A,27,REP,2010,50831,152955,33.23265012585401,102124,0,0
Bill Monning,S,17,DEM,2012,236213,373049,63.31956391787674,236213,1,0
Larry Beaman,S,17,REP,2012,136836,373049,36.68043608212326,236213,0,0
Bill Monning,S,17,DEM,2016,268806,410145,65.539260505431,268806,1,1
Palmer Kain,S,17,REP,2016,141339,410145,34.46073949456899,268806,0,0
Bill Quirk,A,20,DEM,2012,67028,133139,50.34437692937457,67028,1,0
Jennifer Ong,A,20,DEM,2012,66111,133139,49.65562307062544,67028,0,0
Bill Quirk,A,20,DEM,2014,56144,78151,71.84041151104911,56144,1,1
Jaime Patino,A,20,REP,2014,22007,78151,28.159588488950877,56144,0,0
Bill Quirk,A,20,DEM,2016,114001,153508,74.26388201266384,114001,1,1
Luis A. Wong,A,20,REP,2016,39507,153508,25.736117987336165,114001,0,0
Blair Austin Nathan,S,11,REP,2008,91592,363746,25.180208167237577,272154,0,0
Joe Simitian,S,11,DEM,2008,272154,363746,74.81979183276242,272154,1,1
Blanca E. Rubio,A,48,DEM,2016,87321,136243,64.09210014459458,87321,1,0
Cory Ellenson,A,48,REP,2016,48922,136243,35.90789985540542,87321,0,0
Bob Blumenfield,A,40,DEM,2010,56208,92277,60.912253324230306,56208,1,1
Dennis Deyoung,A,40,REP,2010,36069,92277,39.087746675769694,56208,0,0
Bob Blumenfield,A,45,DEM,2012,100422,158418,63.390523804113165,100422,1,0
Chris Kolski,A,45,REP,2012,57996,158418,36.60947619588683,100422,0,0
Bob Brunton,A,25,REP,2014,25441,83159,30.59320097644272,57718,0,0
Kansen Chu,A,25,DEM,2014,57718,83159,69.40679902355728,57718,1,0
Bob Brunton,A,25,REP,2016,40280,148101,27.197655653911855,107821,0,0
Kansen Chu,A,25,DEM,2016,107821,148101,72.80234434608815,107821,1,1
Bob Hertzberg,S,18,DEM,2014,79495,113289,70.17009594929782,79495,1,0
Ricardo Antonio Benitez,S,18,REP,2014,33794,113289,29.82990405070219,79495,0,0
Bob Perkins,A,28,REP,2004,39257,106843,36.7426972286439,67586,0,0
Simon Salinas,A,28,DEM,2004,67586,106843,63.25730277135611,67586,1,1
Bob Pohl,A,35,REP,2004,82025,173528,47.26902862938546,91503,0,0
Pedro Nava,A,35,DEM,2004,91503,173528,52.73097137061454,91503,1,0
Bob Stephens,A,6,REP,2010,50218,169971,29.545040036241478,119753,0,0
Jared Huffman,A,6,DEM,2010,119753,169971,70.45495996375853,119753,1,1
Bob Weber,S,26,LIB,2010,4882,186636,2.6157868792730232,151733,0,0
Cindy Varela Henderson,S,26,PF,2010,4293,186636,2.300199318459461,151733,0,0
"Curren D. Price, Jr.",S,26,DEM,2010,151733,186636,81.29889196082215,151733,1,0
Nachum Shifren,S,26,REP,2010,25728,186636,13.785121841445381,151733,0,0
Bob Whalen,A,23,REP,2012,69457,153274,45.31557863695082,83817,0,0
Jim Patterson,A,23,REP,2012,83817,153274,54.68442136304918,83817,1,0
Bob Wieckowski,S,10,DEM,2014,111162,163464,68.0039641755983,111162,1,0
Peter Kuo,S,10,REP,2014,52302,163464,31.9960358244017,111162,0,0
Bonnie Garcia,A,80,REP,2004,66880,114074,58.628609499097074,66880,1,1
Mary Ann Andreas,A,80,DEM,2004,47194,114074,41.37139050090292,66880,0,0
Bonnie Garcia,A,80,REP,2006,42459,82405,51.52478611734724,42459,1,1
Steve Clute,A,80,DEM,2006,39946,82405,48.47521388265275,42459,0,0
Bonnie Garcia,S,28,REP,2014,72353,154051,46.966913554602044,81698,0,0
Jeff Stone,S,28,REP,2014,81698,154051,53.03308644539795,81698,1,0
Bonnie Lowenthal,A,54,DEM,2008,95350,166896,57.13138721119739,95350,1,0
Gabriella Holt,A,54,REP,2008,61650,166896,36.93917169974116,95350,0,0
John Kling,A,54,LIB,2008,9896,166896,5.929441089061451,95350,0,0
Bonnie Lowenthal,A,54,DEM,2010,73775,130310,56.614995011894706,73775,1,1
Martha E. Flores-Gibson,A,54,REP,2010,56535,130310,43.38500498810529,73775,0,0
Bonnie Lowenthal,A,70,DEM,2012,100676,152997,65.80259743655105,100676,1,0
Martha Flores Gibson,A,70,REP,2012,52321,152997,34.19740256344896,100676,0,0
Brad Jonathan Taylor,A,49,REP,2010,21148,67989,31.105031696303815,46841,0,0
Mike Eng,A,49,DEM,2010,46841,67989,68.89496830369619,46841,1,1
Bradly S. Torgan,A,50,REP,2014,31113,109206,28.49019284654689,78093,0,0
Richard Bloom,A,50,DEM,2014,78093,109206,71.50980715345311,78093,1,1
Brandon Bell,A,5,DEM,2006,48325,136727,35.34415294711359,84334,0,0
Mike Lopez,A,5,PF,2006,4068,136727,2.9752718921646784,84334,0,0
Roger Niello,A,5,REP,2006,84334,136727,61.68057516072173,84334,1,1
Brandon Shoemaker,A,31,REP,2010,27606,68553,40.269572447595294,40947,0,0
Henry T. Perea,A,31,DEM,2010,40947,68553,59.730427552404706,40947,1,0
Brenda Carol Green,A,48,REP,2006,5479,48789,11.229990366681013,43310,0,0
Mike Davis,A,48,DEM,2006,43310,48789,88.77000963331898,43310,1,0
Brent T. Oya,A,22,REP,2008,34230,143479,23.857149826803923,109249,0,0
Paul Fong,A,22,DEM,2008,109249,143479,76.14285017319608,109249,1,0
Brett Deforest Maxfield,A,74,DEM,2008,72126,178675,40.36714705470827,90383,0,0
Martin Garrick,A,74,REP,2008,90383,178675,50.5851406184413,90383,1,1
Paul King,A,74,LIB,2008,16166,178675,9.047712326850426,90383,0,0
Brian A. Gutierrez,A,57,REP,2010,25699,78625,32.68553259141495,52763,0,0
Mike Meza,A,57,IND (W/I),2010,163,78625,0.20731319554848968,52763,0,0
Roger Hernandez,A,57,DEM,2010,52763,78625,67.10715421303657,52763,1,0
Brian A. Klea,S,38,LIB,2006,55964,218010,25.67038209256456,162046,0,0
Mark Wyland,S,38,REP,2006,162046,218010,74.32961790743545,162046,1,0
Brian Caples,A,6,DEM,2016,81919,231334,35.411569419108304,149415,0,0
Kevin Kiley,A,6,REP,2016,149415,231334,64.5884305808917,149415,1,0
Brian Dahle,A,1,REP,2012,116098,177018,65.58542069168108,116098,1,0
Rick Bosetti,A,1,REP,2012,60920,177018,34.41457930831893,116098,0,0
Brian Dahle,A,1,REP,2014,104103,148222,70.23451309522203,104103,1,1
Brigham Sawyer Smith,A,1,DEM,2014,44119,148222,29.765486904777966,104103,0,0
Brian Dahle,A,1,REP,2016,148657,201528,73.7649358898019,148657,1,1
Donn Coenen,A,1,LIB,2016,52871,201528,26.235064110198085,148657,0,0
Brian Hendry,S,40,REP,2010,69417,171184,40.55110290681372,101767,0,0
Juan Vargas,S,40,DEM,2010,101767,171184,59.44889709318628,101767,1,0
Brian Jones,A,77,REP,2010,82909,132811,62.426305050033505,82909,1,0
Mark Hanson,A,77,DEM,2010,43674,132811,32.884324340604316,82909,0,0
Richard Belitz,A,77,LIB,2010,6228,132811,4.689370609362176,82909,0,0
Brian Joseph Davis,A,38,DEM,2004,67747,174581,38.80548284177545,106834,0,0
Keith Stuart Richman,A,38,REP,2004,106834,174581,61.19451715822455,106834,1,1
Brian Lee Cross,A,72,LIB,2004,5031,136814,3.6772552516555326,90255,0,0
Lynn Daucher,A,72,REP,2004,90255,136814,65.96912596664085,90255,1,1
Ross W. Johnson,A,72,DEM,2004,41528,136814,30.353618781703627,90255,0,0
Brian Lee Cross,A,72,LIB,2006,3114,94130,3.3081907999575053,55664,0,0
John MacMurray,A,72,DEM,2006,35352,94130,37.55657070009561,55664,0,0
Michael D. (Mike) Duvall,A,72,REP,2006,55664,94130,59.13523849994689,55664,1,0
Brian Maienschein,A,77,REP,2012,114314,190138,60.121595893508925,114314,1,0
